FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 13:15:21.790801
Allgemeiner Lesesaal (Zentralbibliothek);33;67;2016-12-18 13:30:26.036064
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 13:30:26.036124
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 13:30:26.036141
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 13:30:26.036153
FB Englischer Garten;10;90;2016-12-18 13:30:26.036164
FB Geowissenschaften;13;87;2016-12-18 13:30:26.036175
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 13:30:26.036185
FB Historicum;27;73;2016-12-18 13:30:26.036196
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 13:30:26.036206
FB Medizinische Lesehalle;57;43;2016-12-18 13:30:26.036216
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 13:30:26.036226
FB Theologie und Philosophie;36;64;2016-12-18 13:30:26.036238
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 13:30:26.036248
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 13:45:22.074636
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 13:45:22.074702
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 13:45:22.074717
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 13:45:22.074729
FB Englischer Garten;11;89;2016-12-18 13:45:22.074740
FB Geowissenschaften;13;87;2016-12-18 13:45:22.074750
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 13:45:22.074765
FB Historicum;27;73;2016-12-18 13:45:22.074776
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 13:45:22.074785
FB Medizinische Lesehalle;57;43;2016-12-18 13:45:22.074795
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 13:45:22.074805
FB Theologie und Philosophie;36;64;2016-12-18 13:45:22.074817
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 13:45:22.074827
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 14:00:28.985052
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 14:00:28.985160
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 14:00:28.985198
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 14:00:28.985228
FB Englischer Garten;11;89;2016-12-18 14:00:28.985254
FB Geowissenschaften;13;87;2016-12-18 14:00:28.985278
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 14:00:28.985302
FB Historicum;27;73;2016-12-18 14:00:28.985328
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 14:00:28.985351
